id,mag,type,ra,dec,source,has_coords
AT2025abao,15.1,LRN,,,Rochester_Main_Table,False
AT2025zov,,unk,,,Rochester_Main_Table,False
AT2025zoe,,unk,,,Rochester_Main_Table,False
AT2025abne,15.8,unk,,,Rochester_Main_Table,False
AT2025abfn,16.4,unk,,,Rochester_Main_Table,False
AT2025aads,16.4,unk,,,Rochester_Main_Table,False
AT2025zkf,,unk,,,Rochester_Main_Table,False
AT2025acfl,16.5,EGN,,,Rochester_Main_Table,False
AT2025aaoc,16.6,unk,,,Rochester_Main_Table,False
AT2025abwt,16.7,unk,,,Rochester_Main_Table,False
AT2025abko,16.7,unk,,,Rochester_Main_Table,False
AT2025abtx,16.8,unk,,,Rochester_Main_Table,False
AT2025zpb,,unk,,,Rochester_Main_Table,False
AT2025yiq,,unk,,,Rochester_Main_Table,False
AT2025absq,16.9,unk,,,Rochester_Main_Table,False
AT2025abnd,16.9,unk,,,Rochester_Main_Table,False
